movie_id,genres
266,Drama
266,History
266,War
267,Adventure
267,Comedy
267,Family
267,Fantasy
268,Animation
268,Family
268,Fantasy
268,Musical
268,Romance
269,Adventure
269,Drama
269,Sci-Fi
270,Action
270,Adventure
270,Romance
270,Sci-Fi
270,Thriller
271,Comedy
271,Romance
272,Action
272,Crime
272,Thriller
273,Action
273,Drama
273,Romance
274,Action
274,Mystery
274,Sci-Fi
274,Thriller
275,Adventure
275,Family
275,Fantasy
275,Mystery
276,Action
276,Adventure
276,Thriller
277,Action
277,Adventure
277,Sci-Fi
277,Thriller
278,Action
278,Sci-Fi
279,Biography
279,Crime
279,Drama
279,History
279,Romance
280,Biography
280,Crime
280,Drama
281,Action
281,Comedy
281,Thriller
282,Action
282,Crime
282,Thriller
283,Comedy
283,Romance
284,Action
284,Comedy
284,Crime
285,Action
285,Drama
285,Mystery
285,Thriller
286,Drama
286,Western
287,Animation
287,Drama
287,Family
287,Musical
287,Romance
288,Adventure
288,Animation
288,Comedy
288,Family
288,Fantasy
289,Action
289,Adventure
289,Thriller
290,Action
290,Adventure
290,Comedy
290,Family
290,Mystery
291,Action
291,Adventure
291,Family
291,Fantasy
292,Adventure
292,Drama
292,Family
292,Fantasy
293,Adventure
293,Family
293,Fantasy
294,Adventure
294,Animation
294,Family
294,Fantasy
295,Action
295,Romance
295,Thriller
296,Action
296,Fantasy
296,Horror
296,Mystery
297,Adventure
297,Drama
297,Thriller
298,Biography
298,Comedy
298,Crime
298,Drama
299,Action
299,Adventure
299,Fantasy
300,Action
300,Sci-Fi
300,War
301,Drama
301,Sci-Fi
302,Action
302,Adventure
302,Animation
302,Family
302,Fantasy
303,Action
303,Crime
303,Fantasy
303,Romance
303,Thriller
304,Action
304,Adventure
305,Adventure
305,Animation
305,Family
305,Sci-Fi
306,Adventure
306,Comedy
306,Sci-Fi
307,Action
307,Adventure
307,Thriller
308,Action
308,Crime
308,Sport
308,Thriller
309,Comedy
309,Family
309,Fantasy
310,Action
310,Adventure
310,Biography
310,Drama
310,History
310,Thriller
311,Action
311,Comedy
311,Sci-Fi
312,Action
312,Drama
312,Thriller
312,War
313,Adventure
313,Animation
313,Comedy
313,Family
314,Drama
314,Mystery
314,Thriller
315,Action
315,Adventure
315,Fantasy
315,Thriller
316,Crime
316,Drama
317,Drama
317,History
317,Romance
317,War
318,Animation
318,Comedy
318,Family
318,Sport
319,Comedy
319,Sci-Fi
319,Thriller
320,Drama
320,History
320,War
321,Comedy
322,Action
322,Adventure
322,Sci-Fi
323,Comedy
323,Drama
323,Romance
324,Adventure
324,Animation
324,Comedy
324,Family
324,Romance
325,Adventure
325,Animation
325,Comedy
325,Family
326,Drama
326,Family
326,Fantasy
326,Romance
327,Drama
327,Fantasy
327,Thriller
328,Adventure
328,Animation
328,Comedy
328,Family
329,Action
329,Adventure
329,Drama
329,Fantasy
330,Action
330,Adventure
330,Drama
330,Fantasy
331,Action
331,Adventure
331,Fantasy
332,Action
332,Adventure
332,Fantasy
332,Thriller
333,Drama
333,Mystery
333,Romance
333,Sci-Fi
333,Thriller
334,Action
334,Adventure
334,Sci-Fi
334,Thriller
335,Action
335,Drama
335,Sci-Fi
335,Thriller
336,Adventure
336,Family
336,Fantasy
337,Action
337,Thriller
338,Drama
338,History
338,War
338,Western
339,Action
339,Adventure
339,Animation
339,Family
340,Action
340,Adventure
340,Comedy
341,Adventure
341,Family
341,Fantasy
342,Adventure
342,Comedy
342,Family
342,Mystery
342,Sci-Fi
343,Adventure
343,Animation
343,Comedy
343,Family
343,Fantasy
344,Action
344,Thriller
345,Action
345,Comedy
345,Crime
345,Thriller
346,Drama
346,Fantasy
346,Horror
346,Mystery
346,Thriller
347,Animation
347,Comedy
347,Family
347,Sci-Fi
348,Action
348,Adventure
348,Animation
348,Comedy
348,Family
349,Adventure
349,Comedy
349,Drama
349,Fantasy
349,Romance
350,Action
350,Adventure
350,Comedy
350,Crime
350,Thriller
351,Crime
351,Drama
351,Thriller
352,Adventure
352,Animation
352,Family
352,Fantasy
352,Musical
352,War
353,Action
353,Comedy
354,Crime
354,Drama
354,Mystery
354,Thriller
355,Action
355,Adventure
355,Thriller
356,Action
356,Adventure
356,Crime
356,Mystery
356,Thriller
357,Action
357,Adventure
357,Animation
357,Family
357,Fantasy
357,Sci-Fi
358,Adventure
358,Animation
358,Comedy
358,Family
358,Fantasy
358,Music
359,Drama
359,History
359,Thriller
359,War
360,Action
360,Comedy
361,Action
361,Animation
361,Comedy
361,Sci-Fi
362,Adventure
362,Drama
362,Sci-Fi
363,Comedy
363,Family
363,Fantasy
363,Horror
363,Mystery
364,Drama
364,Mystery
364,Sci-Fi
364,Thriller
365,Action
365,Horror
365,Sci-Fi
365,Thriller
366,Crime
366,Mystery
366,Thriller
367,Adventure
367,Family
367,Fantasy
368,Action
368,Adventure
368,Fantasy
369,Action
369,Adventure
369,Comedy
369,Crime
369,Mystery
369,Thriller
370,Action
370,Adventure
370,Romance
370,Sci-Fi
370,Thriller
371,Action
371,Crime
371,Thriller
372,Adventure
372,Sci-Fi
372,Thriller
373,Adventure
373,Animation
373,Comedy
373,Family
373,Musical
374,Comedy
374,Drama
374,Sci-Fi
375,Action
375,Drama
375,Sci-Fi
375,Thriller
376,Action
376,Crime
376,Drama
376,Thriller
377,Drama
377,History
377,Thriller
377,War
378,Action
378,Adventure
378,Sci-Fi
379,Adventure
379,Fantasy
380,Biography
380,Drama
380,Sport
381,Action
381,Family
381,Fantasy
381,Musical
382,Drama
382,History
382,Sport
383,Action
383,Adventure
383,Drama
383,Thriller
384,Action
384,Crime
384,Thriller
385,Adventure
385,Drama
385,Romance
386,Animation
386,Comedy
386,Family
386,Music
386,Romance
387,Action
387,Mystery
387,Thriller
388,Action
388,Adventure
388,Drama
388,Thriller
389,Crime
389,Thriller
390,Action
390,Adventure
390,Romance
391,Animation
391,Comedy
391,Family
391,Fantasy
392,Animation
392,Comedy
392,Family
392,Fantasy
392,Musical
392,Romance
393,Action
393,Crime
393,Mystery
393,Thriller
394,Adventure
394,Comedy
394,Family
395,Action
395,Comedy
395,Crime
396,Comedy
396,Romance
397,Action
397,Crime
397,Drama
397,Mystery
397,Thriller
398,Comedy
398,Drama
398,Romance
399,Crime
399,Thriller
400,Adventure
400,Animation
400,Comedy
400,Family
401,Adventure
401,Mystery
401,Sci-Fi
402,Drama
402,History
402,War
403,Action
403,Adventure
403,Comedy
403,Thriller
404,Action
404,Adventure
404,Comedy
404,Fantasy
405,Drama
405,Romance
406,Action
406,Crime
406,Thriller
407,Adventure
407,Animation
407,Comedy
407,Family
407,Fantasy
408,Drama
408,Fantasy
408,Romance
409,Action
409,Drama
409,Thriller
410,Adventure
410,Comedy
410,Drama
410,Family
410,Fantasy
411,Action
411,Comedy
411,Fantasy
411,Romance
412,Action
412,Adventure
412,Sci-Fi
412,Thriller
413,Comedy
413,Romance
413,Sci-Fi
414,Adventure
414,Comedy
414,Mystery
415,Action
415,Sci-Fi
416,Comedy
416,Drama
416,Fantasy
416,Romance
417,Action
417,Comedy
417,Family
417,Fantasy
418,Action
418,Adventure
418,Sci-Fi
418,Thriller
419,Action
419,Adventure
419,Fantasy
419,Horror
419,Sci-Fi
420,Crime
420,Drama
420,History
420,Mystery
420,Thriller
421,Action
421,Mystery
421,Sci-Fi
421,Thriller
422,Comedy
422,Drama
423,Action
423,Adventure
423,Thriller
424,Action
424,Adventure
424,Thriller
425,Adventure
425,Drama
425,Sci-Fi
425,Thriller
426,Comedy
427,Action
428,Adventure
428,Animation
428,Comedy
428,Family
429,Adventure
429,Animation
429,Comedy
429,Drama
429,Family
429,Fantasy
429,Sci-Fi
430,Action
430,Drama
430,Romance
430,Sci-Fi
430,Thriller
431,Action
431,Comedy
431,Crime
431,Thriller
432,Comedy
432,Crime
432,Sport
433,Adventure
433,Animation
433,Comedy
433,Family
433,Fantasy
433,Music
434,Comedy
435,Action
435,Adventure
435,Comedy
436,Comedy
436,Drama
436,Romance
437,Mystery
437,Thriller
438,Comedy
438,Drama
438,Romance
439,Adventure
439,Animation
439,Comedy
439,Family
439,Sci-Fi
440,Action
440,Crime
440,Sci-Fi
440,Thriller
441,Comedy
441,Family
441,Fantasy
441,Romance
442,Crime
442,Drama
442,Thriller
443,Comedy
443,Romance
444,Action
444,Crime
444,Thriller
445,Action
445,Mystery
445,Thriller
446,Adventure
446,Drama
446,History
446,Romance
446,War
447,Action
447,Adventure
447,Drama
447,Thriller
448,Comedy
448,Family
448,Sci-Fi
449,Fantasy
449,Horror
449,Mystery
449,Thriller
450,Adventure
450,Animation
450,Comedy
450,Family
450,Fantasy
450,Sci-Fi
450,Sport
451,Adventure
451,Comedy
451,Crime
451,Family
451,Mystery
452,Drama
452,Sci-Fi
452,Thriller
453,Action
453,Crime
453,Mystery
453,Romance
453,Thriller
454,Action
454,Drama
454,War
455,Action
455,Adventure
455,Comedy
455,Romance
456,Adventure
456,Animation
456,Comedy
456,Family
457,Adventure
457,Animation
457,Family
457,Western
458,Comedy
458,Family
458,Romance
459,Action
459,Adventure
459,Family
459,Sci-Fi
459,Thriller
460,Drama
460,Mystery
460,Sci-Fi
460,Thriller
461,Animation
461,Comedy
461,Family
461,Fantasy
462,Animation
462,Family
462,Fantasy
462,Music
463,Action
463,Adventure
463,Sci-Fi
464,Action
464,Adventure
464,Family
464,Fantasy
464,Thriller
465,Action
465,Crime
465,Thriller
466,Action
466,Adventure
466,Western
467,Drama
467,Fantasy
467,Romance
468,Comedy
468,Fantasy
469,Action
469,Adventure
469,Comedy
469,Fantasy
469,Thriller
470,Action
470,Comedy
470,Sci-Fi
471,Action
471,Sci-Fi
471,Thriller
472,Drama
472,History
472,Thriller
473,Action
